# Compilado de las mediciones del calor específico molar 
# de muestras de diamante en función de la temperatura 
# en el régimen de baja temperatura
# T (K)   Cv (J/(mol*K))
18.6	1.84E-03
19.3	5.74E-04
20.1	3.62E-03
20.8	6.47E-04
21.6	7.32E-04
22.3	1.06E-03
23.1	4.41E-03
23.8	4.22E-03
24.6	4.73E-03
25.3	6.04E-03
26.0	7.47E-03
26.8	6.06E-03
27.5	5.11E-03
28.3	8.47E-03
29.0	5.73E-03
29.8	1.00E-02
30.5	7.83E-03
31.2	8.74E-03
32.0	8.50E-03
32.7	1.03E-02
33.5	1.28E-02
34.2	1.14E-02
35.0	1.20E-02
35.7	1.81E-02
36.5	1.40E-02
37.2	1.60E-02
37.9	2.03E-02
38.7	1.76E-02
39.4	1.81E-02
40.2	2.14E-02
40.9	1.96E-02
41.7	2.33E-02
42.4	2.87E-02
43.2	2.11E-02
43.9	2.45E-02
44.6	2.68E-02
45.4	3.26E-02
46.1	2.84E-02
46.9	3.23E-02
47.6	3.01E-02
48.4	2.63E-02
49.1	3.52E-02
49.8	2.79E-02
50.6	4.48E-02
51.3	4.28E-02
52.1	4.31E-02
52.8	4.20E-02
53.6	3.80E-02
54.3	5.06E-02
55.1	5.04E-02
55.8	4.65E-02
56.5	6.38E-02
57.3	5.68E-02
58.0	6.01E-02
58.8	5.20E-02
59.5	6.80E-02
60.3	6.82E-02
61.0	6.75E-02
61.8	7.75E-02
62.5	6.96E-02
63.2	7.99E-02
64.0	9.00E-02
64.7	7.90E-02
65.5	9.78E-02
66.2	8.26E-02
67.0	8.95E-02
67.7	1.02E-01
68.4	8.89E-02
69.2	1.05E-01
69.9	1.09E-01
70.7	1.12E-01
71.4	1.01E-01
72.2	1.14E-01
72.9	1.13E-01
73.7	1.05E-01
74.4	1.23E-01
75.1	1.24E-01
75.9	1.37E-01
76.6	1.32E-01
77.4	1.33E-01
78.1	1.38E-01
78.9	1.34E-01
79.6	1.54E-01
80.4	1.60E-01
81.1	1.45E-01
81.8	1.53E-01
82.6	1.53E-01
83.3	1.68E-01
84.1	1.90E-01
84.8	1.72E-01
85.6	2.10E-01
86.3	1.72E-01
87.0	1.83E-01
87.8	1.96E-01
88.5	2.18E-01
89.3	2.25E-01
90.0	2.05E-01
90.8	2.55E-01
91.5	2.57E-01
92.3	2.59E-01
93.0	2.46E-01
93.7	2.35E-01
94.5	2.88E-01
95.2	2.55E-01
96.0	2.83E-01
96.7	3.00E-01
97.5	2.75E-01
98.2	2.76E-01
99.0	3.17E-01
99.7	2.62E-01
100.4	3.19E-01
101.2	3.11E-01
101.9	3.07E-01
102.7	3.18E-01
103.4	3.36E-01
104.2	3.17E-01
104.9	3.86E-01
105.6	3.60E-01
106.4	3.55E-01
107.1	3.77E-01
107.9	3.93E-01
108.6	3.78E-01
109.4	3.96E-01
110.1	4.23E-01
110.9	4.03E-01
111.6	4.38E-01
112.3	4.38E-01
113.1	4.01E-01
113.8	4.19E-01
114.6	4.44E-01
115.3	4.66E-01
116.1	5.09E-01
116.8	4.87E-01
117.6	4.85E-01
118.3	4.94E-01
119.0	4.96E-01
119.8	5.01E-01
120.5	4.98E-01
121.3	5.56E-01
122.0	5.10E-01
122.8	5.35E-01
123.5	5.73E-01
124.2	5.71E-01
125.0	5.65E-01
125.7	5.62E-01
126.5	6.19E-01
127.2	6.50E-01
128.0	6.63E-01
128.7	6.78E-01
129.5	6.21E-01
130.2	6.71E-01
130.9	7.06E-01
131.7	6.80E-01
132.4	6.88E-01
133.2	7.31E-01
133.9	7.34E-01
134.7	7.07E-01
135.4	7.96E-01
136.2	8.00E-01
136.9	7.45E-01
137.6	8.13E-01
138.4	8.13E-01
139.1	8.41E-01
139.9	8.18E-01
140.6	7.94E-01
141.4	8.20E-01
142.1	8.76E-01
142.8	8.54E-01
143.6	8.95E-01
144.3	9.64E-01
145.1	9.99E-01
145.8	9.67E-01
146.6	9.31E-01
147.3	9.18E-01
148.1	9.53E-01
148.8	9.51E-01
149.5	9.87E-01
150.3	1.01E+00
151.0	1.01E+00
151.8	1.07E+00
152.5	1.04E+00
153.3	1.09E+00
154.0	1.08E+00
154.8	1.09E+00
155.5	1.19E+00
156.2	1.13E+00
157.0	1.17E+00
157.7	1.24E+00
158.5	1.13E+00
159.2	1.21E+00
160.0	1.18E+00
160.7	1.28E+00
161.4	1.20E+00
162.2	1.28E+00
162.9	1.40E+00
163.7	1.34E+00
164.4	1.35E+00
165.2	1.37E+00
165.9	1.43E+00
166.7	1.30E+00
167.4	1.39E+00
168.1	1.38E+00
168.9	1.55E+00
169.6	1.51E+00
170.4	1.48E+00
171.1	1.59E+00
171.9	1.42E+00
172.6	1.46E+00
173.4	1.55E+00
174.1	1.68E+00
174.8	1.54E+00
175.6	1.68E+00
176.3	1.61E+00
177.1	1.65E+00
177.8	1.69E+00
178.6	1.63E+00
179.3	1.73E+00
180.0	1.71E+00
180.8	1.74E+00
181.5	1.78E+00
182.3	1.82E+00
183.0	1.81E+00
183.8	1.91E+00
184.5	1.97E+00
185.3	1.88E+00

