,pred
4200,566.3978271484375
4201,590.3339233398438
4202,592.5152587890625
4203,605.981201171875
4204,577.1829223632812
4205,549.0601196289062
4206,555.6035766601562
4207,556.9436645507812
4208,583.8529052734375
4209,560.43408203125
4210,554.6068725585938
4211,557.0994262695312
4212,555.2401123046875
4213,560.4522094726562
4214,560.3461303710938
4215,553.3967895507812
4216,551.8334350585938
4217,581.2494506835938
4218,583.0518188476562
4219,552.0665283203125
4220,550.6776733398438
4221,557.1903076171875
4222,555.218505859375
4223,554.310302734375
4224,557.6353149414062
4225,556.7362060546875
4226,562.93115234375
4227,563.6845703125
4228,569.3248291015625
4229,570.9785766601562
4230,558.29150390625
4231,561.7579345703125
4232,564.9968872070312
4233,567.1614990234375
4234,554.4535522460938
4235,551.3245849609375
4236,557.1651000976562
4237,558.4131469726562
4238,578.2201538085938
4239,579.3729858398438
4240,584.5748901367188
4241,554.0785522460938
4242,554.8579711914062
4243,561.6976318359375
4244,559.9493408203125
4245,561.6656494140625
4246,558.4891967773438
4247,559.1283569335938
4248,560.0706176757812
4249,559.7570190429688
4250,560.328125
4251,560.5914306640625
4252,565.7815551757812
4253,572.1243286132812
4254,561.0189819335938
4255,558.6018676757812
4256,569.7308349609375
4257,561.9736328125
4258,563.23193359375
4259,563.6637573242188
4260,559.8145141601562
4261,592.7438354492188
4262,565.0125732421875
4263,554.733154296875
4264,559.3491821289062
4265,550.8096313476562
4266,555.7033081054688
4267,562.7677612304688
4268,560.0016479492188
4269,561.0443725585938
4270,559.9861450195312
4271,559.198486328125
4272,558.7607421875
4273,559.0123901367188
4274,571.0733032226562
4275,570.90966796875
4276,561.7095947265625
4277,561.01904296875
4278,577.136962890625
4279,562.3380126953125
4280,558.65966796875
4281,557.3563842773438
4282,591.3355712890625
4283,575.5809326171875
4284,558.9204711914062
4285,558.548828125
4286,560.3842163085938
4287,562.8169555664062
4288,554.6704711914062
4289,565.2899169921875
4290,556.051025390625
4291,563.9116821289062
4292,562.0054321289062
4293,566.4194946289062
4294,561.2811889648438
4295,563.7811889648438
4296,567.6942138671875
4297,557.1903076171875
4298,559.201904296875
4299,570.3663940429688
4300,562.4243774414062
4301,561.925537109375
4302,560.8744506835938
4303,561.01123046875
4304,589.3378295898438
4305,576.3522338867188
4306,558.314208984375
4307,560.7936401367188
4308,563.9078979492188
4309,557.404541015625
4310,556.9258422851562
4311,548.9796142578125
4312,572.3775634765625
4313,563.0262451171875
4314,565.1708984375
4315,565.0098876953125
4316,561.15673828125
4317,552.5398559570312
4318,556.9818115234375
4319,569.155517578125
4320,557.6257934570312
4321,566.0838623046875
4322,561.206298828125
4323,564.9334106445312
4324,559.9064331054688
4325,589.9463500976562
4326,574.6153564453125
4327,563.0498657226562
4328,556.5843505859375
4329,560.489013671875
4330,561.1838989257812
4331,562.4098510742188
4332,559.9000244140625
4333,555.1525268554688
4334,568.8536376953125
4335,568.0135498046875
4336,563.3093872070312
4337,561.7239379882812
4338,560.057373046875
4339,557.5262451171875
4340,568.7607421875
4341,568.8097534179688
4342,557.4730224609375
4343,559.5875854492188
4344,567.3546142578125
4345,557.0555419921875
4346,562.04736328125
4347,594.6112060546875
4348,563.0079956054688
4349,554.0138549804688
4350,563.4978637695312
4351,560.2559204101562
4352,555.1118774414062
4353,555.1015014648438
4354,553.5302734375
4355,558.505126953125
4356,557.85888671875
4357,559.021728515625
4358,559.903564453125
4359,556.6788330078125
4360,560.1787109375
4361,570.403076171875
4362,559.3778076171875
4363,559.7863159179688
4364,559.9954223632812
4365,559.6571655273438
4366,557.6539916992188
4367,560.0625
4368,594.96142578125
4369,564.8546752929688
4370,589.2141723632812
4371,579.454833984375
4372,591.9104614257812
4373,577.0410766601562
4374,588.6403198242188
4375,575.6964721679688
4376,589.128662109375
4377,574.0786743164062
4378,590.4005126953125
4379,576.6865234375
4380,591.325927734375
4381,575.8895263671875
4382,559.3217163085938
4383,558.1769409179688
4384,561.5866088867188
4385,562.673828125
4386,562.28173828125
4387,563.5616455078125
4388,562.646240234375
4389,594.212158203125
4390,569.544921875
4391,587.483154296875
4392,575.1817626953125
4393,590.8786010742188
4394,574.6261596679688
4395,588.6249389648438
4396,576.779052734375
4397,589.1328125
4398,576.2547607421875
4399,588.5175170898438
4400,575.4752807617188
4401,590.6218872070312
4402,575.5214233398438
4403,590.6121215820312
4404,576.1829833984375
4405,590.5196533203125
4406,576.9097290039062
4407,559.7440185546875
4408,558.3984375
4409,556.1748657226562
4410,554.4472045898438
4411,562.4696044921875
4412,559.3912963867188
4413,565.0808715820312
4414,593.0700073242188
4415,566.8828125
4416,589.0968017578125
4417,577.8541259765625
4418,588.7738647460938
4419,575.827392578125
4420,589.5316162109375
4421,573.7177124023438
4422,587.6810302734375
4423,582.5596313476562
4424,590.9765014648438
4425,575.63037109375
4426,589.4054565429688
4427,574.332275390625
4428,558.3638305664062
4429,562.1292114257812
4430,560.1088256835938
4431,554.1949462890625
4432,559.470458984375
4433,594.3543090820312
4434,570.9645385742188
4435,589.0150756835938
4436,576.9512329101562
4437,591.9255981445312
4438,576.575927734375
4439,590.239013671875
4440,575.9547119140625
4441,589.0708618164062
4442,577.052734375
4443,589.2714233398438
4444,573.9932861328125
4445,590.6343383789062
4446,579.75048828125
4447,591.030029296875
4448,577.4157104492188
4449,590.9797973632812
4450,576.4854736328125
4451,590.8085327148438
4452,582.8406982421875
4453,593.5922241210938
4454,570.0538330078125
4455,587.2079467773438
4456,576.6968994140625
4457,594.5286254882812
4458,569.2986450195312
4459,594.8403930664062
4460,566.544677734375
4461,589.0478515625
4462,576.785888671875
4463,588.2894897460938
4464,577.57958984375
4465,594.3134765625
4466,556.2030639648438
4467,587.98681640625
4468,576.4356079101562
4469,597.5147705078125
4470,555.8500366210938
4471,598.7227783203125
4472,555.5582275390625
4473,591.6622924804688
4474,575.1607666015625
4475,596.0679321289062
4476,552.5668334960938
4477,595.9259643554688
4478,553.7623901367188
4479,589.953369140625
4480,577.2197875976562
4481,593.4033203125
4482,582.186767578125
4483,591.826171875
4484,581.5979614257812
4485,589.5137329101562
4486,580.56201171875
4487,589.2933959960938
4488,576.28125
4489,594.8223266601562
4490,555.0968627929688
4491,593.0997924804688
4492,553.8848876953125
4493,587.1290283203125
4494,576.5751342773438
4495,592.1530151367188
4496,580.9390258789062
4497,588.4820556640625
4498,579.8389892578125
4499,587.5765991210938
4500,578.9037475585938
4501,589.3197631835938
4502,582.3778686523438
4503,586.607421875
4504,579.8762817382812
4505,591.4306030273438
4506,579.3872680664062
4507,591.4361572265625
4508,575.724853515625
4509,593.6475219726562
4510,554.2156982421875
4511,593.1685180664062
4512,552.4329223632812
4513,589.542724609375
4514,577.3873901367188
4515,592.5764770507812
4516,553.4896240234375
4517,590.3547973632812
4518,572.781494140625
4519,585.5050048828125
4520,579.67724609375
4521,596.7220458984375
4522,559.2740478515625
4523,592.5067749023438
4524,558.2095947265625
4525,591.869873046875
4526,579.2064208984375
4527,590.192138671875
4528,577.2606811523438
4529,595.3046875
4530,555.8539428710938
4531,592.9166870117188
4532,557.4210815429688
4533,587.9789428710938
4534,581.134765625
4535,590.93798828125
4536,582.5510864257812
4537,589.9819946289062
